vasqueztommy@example.org,2024-06-27,40000,Card,physical goods,South America,Reversed
vasqueztommy@example.org,2024-09-20,6000,USSD,service,Europe,Reversed
vasqueztommy@example.org,2024-07-31,40000,Card,item #2 from storefront,Asia,Queued
vasqueztommy@example.org,2024-05-12,5000,Card,item #1 from storefront,South America,Abandoned
vasqueztommy@example.org,2024-10-24,3000,Bank,item #3 from storefront,Asia,Reversed
vasqueztommy@example.org,2024-07-16,5000,Card,item #1 from storefront,South America,Success
vasqueztommy@example.org,2024-08-21,40000,Bank,item #2 from storefront,South America,Queued
vasqueztommy@example.org,2024-06-18,40000,USSD,physical goods,Europe,Queued
vasqueztommy@example.org,2024-07-06,6000,Card,service,South America,Queued
gsmith@example.com,2024-08-07,40000,Card,physical goods,Asia,Reversed
gsmith@example.com,2024-07-16,40000,Direct Debit,item #2 from storefront,Europe,Failed
gsmith@example.com,2024-09-24,3000,USSD,item #3 from storefront,North America,Reversed
gsmith@example.com,2024-03-31,3000,Direct Debit,item #3 from storefront,South America,Reversed
egarrett@example.org,2023-04-15,30000,POS,subscription item #2 (monthly),Asia,
egarrett@example.org,2023-05-15,30000,Direct Debit,subscription item #2 (monthly),North America,
egarrett@example.org,2023-06-14,30000,Card,subscription item #2 (monthly),North America,
egarrett@example.org,2023-07-14,30000,Direct Debit,subscription item #2 (monthly),South America,
egarrett@example.org,2023-08-13,30000,USSD,subscription item #2 (monthly),Asia,
egarrett@example.org,2023-09-12,30000,POS,subscription item #2 (monthly),North America,
egarrett@example.org,2023-10-12,30000,POS,subscription item #2 (monthly),Asia,
egarrett@example.org,2023-11-11,30000,Bank,subscription item #2 (monthly),North America,
egarrett@example.org,2023-12-11,30000,Direct Debit,subscription item #2 (monthly),North America,
egarrett@example.org,2024-01-10,30000,POS,subscription item #2 (monthly),Asia,
egarrett@example.org,2024-02-09,30000,USSD,subscription item #2 (monthly),Asia,
egarrett@example.org,2024-03-10,30000,USSD,subscription item #2 (monthly),Asia,
egarrett@example.org,2024-10-18,5000,Direct Debit,item #1 from storefront,Asia,Queued
cookmatthew@example.com,2024-10-17,3000,USSD,item #3 from storefront,South America,Failed
cookmatthew@example.com,2024-08-16,5000,Card,item #1 from storefront,North America,Queued
cookmatthew@example.com,2023-02-06,6000,Direct Debit,service,South America,Queued
cookmatthew@example.com,2022-11-10,40000,Bank,item #2 from storefront,South America,Success
cookmatthew@example.com,2024-03-09,5000,POS,item #1 from storefront,North America,Reversed
cookmatthew@example.com,2023-10-07,6000,USSD,service,North America,Abandoned
hillalisha@example.net,2024-10-28,30000,POS,subscription item #2 (monthly),North America,
hillalisha@example.net,2024-10-26,40000,USSD,physical goods,Europe,Success
